lat,lng,total,white,black,native,asian,pi,other,multiple,hispanic
47.7192866,-122.2785024,1,1,0,0,0,0,0,0,0
47.7220335,-122.2802784,69,62,1,0,6,0,0,0,0
47.7281758,-122.2815278,78,75,0,0,0,0,0,0,3
47.7327347,-122.2846204,18,18,0,0,0,0,0,0,0
47.7322051,-122.2856973,24,12,0,0,12,0,0,0,0
47.7326049,-122.2877186,64,38,1,0,15,0,0,6,4
47.7328254,-122.2890574,33,26,0,0,3,0,0,2,2
47.7310099,-122.2890086,71,49,0,0,16,0,0,3,3
47.7306853,-122.2879508,13,10,0,0,0,0,0,3,0
47.7288357,-122.2856721,196,143,2,1,36,0,0,6,8
47.7299896,-122.2835166,84,67,2,0,8,0,0,5,2
47.7275043,-122.2822707,33,23,1,0,8,0,0,0,1
47.7225472,-122.2818937,117,88,1,0,16,0,0,6,6
47.7247297,-122.2845705,107,82,0,0,21,0,0,4,0
47.7212971,-122.2847126,111,94,0,0,13,0,0,0,4
47.7196012,-122.283927,22,22,0,0,0,0,0,0,0
47.7291829,-122.2876113,65,46,0,0,10,0,0,0,9
47.7291852,-122.2889584,51,35,4,0,5,0,1,0,6
47.7273575,-122.2889097,46,32,0,0,10,0,0,2,2
47.727348,-122.2875619,47,44,0,0,1,0,0,1,1
47.732835,-122.290402,44,31,2,0,8,0,2,1,0
47.7319322,-122.2917124,45,21,0,0,18,0,0,5,1
47.7291969,-122.291631,49,23,4,0,2,3,0,2,15
47.7291895,-122.2903054,57,42,0,0,11,0,0,3,1
47.7310165,-122.2903543,50,36,1,0,2,0,0,4,7
47.729184,-122.2929767,30,14,2,0,0,0,0,0,14
47.7290667,-122.295102,669,242,169,6,72,5,3,30,142
47.7276829,-122.2912951,54,18,4,2,8,5,0,1,16
47.7273771,-122.2940593,111,30,35,0,21,3,0,4,18
47.7271849,-122.2954391,74,56,0,0,10,3,0,3,2
47.7273672,-122.2902572,51,41,0,1,4,0,0,5,0
47.7247,-122.2875217,123,89,5,0,19,0,0,4,6
47.7247122,-122.2897572,203,129,13,0,41,0,2,13,5
47.7244196,-122.2917533,84,50,10,1,12,0,0,2,9
47.7208115,-122.291655,407,203,66,8,58,3,0,25,44
47.7211088,-122.2896866,324,177,40,0,51,5,0,16,35
