neighborhood,race,sf,mf,population
Alki/Admiral,white,5684,3273,9174
Alki/Admiral,black,79,101,316
Alki/Admiral,hispanic,219,192,454
Alki/Admiral,asian,316,234,675
Alki/Admiral,multiple,189,158,433
Alki/Admiral,pacific islander,2,4,0
Alki/Admiral,native american,31,33,41
Alki/Admiral,other,18,9,0
Alki/Admiral,total,6538,4004,11093
Arbor Heights,white,4810,78,5026
Arbor Heights,black,87,3,146
Arbor Heights,hispanic,361,4,307
Arbor Heights,asian,314,8,278
Arbor Heights,multiple,276,4,318
Arbor Heights,pacific islander,30,1,116
Arbor Heights,native american,36,0,136
Arbor Heights,other,16,0,0
Arbor Heights,total,5930,97,6327
Ballard,white,747,4330,6866
Ballard,black,8,127,186
Ballard,hispanic,51,283,456
Ballard,asian,31,304,665
Ballard,multiple,33,180,222
Ballard,pacific islander,0,5,0
Ballard,native american,5,41,0
Ballard,other,1,15,0
Ballard,total,878,5285,8395
Beacon Hill,white,1711,143,1811
Beacon Hill,black,844,167,1122
Beacon Hill,hispanic,496,85,771
Beacon Hill,asian,4657,407,5697
Beacon Hill,multiple,428,39,528
Beacon Hill,pacific islander,54,5,0
Beacon Hill,native american,39,3,0
Beacon Hill,other,21,2,0
Beacon Hill,total,8249,852,9929
Belltown,white,0,5844,6275
Belltown,black,0,611,757
Belltown,hispanic,0,532,411
Belltown,asian,0,1135,1418
Belltown,multiple,0,318,421
Belltown,pacific islander,0,33,0
Belltown,native american,0,111,100
Belltown,other,0,17,54
Belltown,total,0,8601,9436
Broadview/Bitter Lake,white,6907,2843,9630
Broadview/Bitter Lake,black,381,545,1318
Broadview/Bitter Lake,hispanic,456,326,743
Broadview/Bitter Lake,asian,756,582,1437
Broadview/Bitter Lake,multiple,364,216,608
Broadview/Bitter Lake,pacific islander,24,22,38
Broadview/Bitter Lake,native american,61,43,83
Broadview/Bitter Lake,other,21,10,0
Broadview/Bitter Lake,total,8971,4586,13857
Capitol Hill,white,0,13621,15392
Capitol Hill,black,0,956,1137
Capitol Hill,hispanic,0,1353,1412
Capitol Hill,asian,0,1715,2614
Capitol Hill,multiple,0,804,1228
Capitol Hill,pacific islander,0,55,57
Capitol Hill,native american,0,138,259
Capitol Hill,other,0,49,40
Capitol Hill,total,0,18692,22139
Cascade/Eastlake,white,416,8771,10271
Cascade/Eastlake,black,6,953,710
Cascade/Eastlake,hispanic,13,895,1006
Cascade/Eastlake,asian,23,1650,2816
Cascade/Eastlake,multiple,9,540,883
Cascade/Eastlake,pacific islander,1,46,19
Cascade/Eastlake,native american,1,143,195
Cascade/Eastlake,other,0,27,77
Cascade/Eastlake,total,470,13025,15977
Cedar Park/Meadowbrook,white,6457,1728,8801
Cedar Park/Meadowbrook,black,381,745,1325
Cedar Park/Meadowbrook,hispanic,470,551,1087
Cedar Park/Meadowbrook,asian,1091,555,1472
Cedar Park/Meadowbrook,multiple,401,220,595
Cedar Park/Meadowbrook,pacific islander,26,33,113
Cedar Park/Meadowbrook,native american,51,50,61
Cedar Park/Meadowbrook,other,26,9,16
Cedar Park/Meadowbrook,total,8902,3892,13470
Central Area/Squire Park,white,4211,5544,12711
Central Area/Squire Park,black,1857,1718,2947
Central Area/Squire Park,hispanic,461,884,1400
Central Area/Squire Park,asian,395,743,1448
Central Area/Squire Park,multiple,375,521,1007
Central Area/Squire Park,pacific islander,14,16,14
Central Area/Squire Park,native american,24,60,101
Central Area/Squire Park,other,18,18,18
Central Area/Squire Park,total,7355,9505,19646
Columbia City,white,4058,962,6249
Columbia City,black,2603,1852,4573
Columbia City,hispanic,812,528,1304
Columbia City,asian,3693,1229,4917
Columbia City,multiple,604,252,1025
Columbia City,pacific islander,103,49,64
Columbia City,native american,51,40,91
Columbia City,other,34,13,0
Columbia City,total,11957,4927,18223
Downtown Commercial Core,white,0,2838,2834
Downtown Commercial Core,black,0,386,429
Downtown Commercial Core,hispanic,0,214,283
Downtown Commercial Core,asian,0,417,491
Downtown Commercial Core,multiple,0,113,156
Downtown Commercial Core,pacific islander,0,8,18
Downtown Commercial Core,native american,0,71,119
Downtown Commercial Core,other,0,23,105
Downtown Commercial Core,total,0,4070,4435
Duwamish/SODO,white,454,353,1326
Duwamish/SODO,black,102,74,292
Duwamish/SODO,hispanic,179,101,329
Duwamish/SODO,asian,385,112,577
Duwamish/SODO,multiple,53,38,255
Duwamish/SODO,pacific islander,7,3,0
Duwamish/SODO,native american,14,37,53
Duwamish/SODO,other,10,1,0
Duwamish/SODO,total,1205,720,2832
Fauntleroy/Seaview,white,9785,1635,11858
Fauntleroy/Seaview,black,212,128,367
Fauntleroy/Seaview,hispanic,489,183,770
Fauntleroy/Seaview,asian,505,109,650
Fauntleroy/Seaview,multiple,442,107,797
Fauntleroy/Seaview,pacific islander,24,5,0
Fauntleroy/Seaview,native american,55,21,171
Fauntleroy/Seaview,other,18,5,36
Fauntleroy/Seaview,total,11528,2195,14649
First Hill,white,38,7093,9551
First Hill,black,15,1965,1531
First Hill,hispanic,4,921,1350
First Hill,asian,12,1709,2402
First Hill,multiple,6,389,766
First Hill,pacific islander,0,57,29
First Hill,native american,0,186,191
First Hill,other,0,46,41
First Hill,total,75,12365,15861
Fremont,white,5456,7230,13942
Fremont,black,96,192,182
Fremont,hispanic,259,389,679
Fremont,asian,357,618,858
Fremont,multiple,258,381,1012
Fremont,pacific islander,3,14,0
Fremont,native american,30,53,27
Fremont,other,13,26,17
Fremont,total,6472,8904,16717
Georgetown,white,284,409,799
Georgetown,black,14,46,21
Georgetown,hispanic,72,73,117
Georgetown,asian,46,75,33
Georgetown,multiple,15,26,62
Georgetown,pacific islander,2,2,0
Georgetown,native american,7,7,23
Georgetown,other,0,3,0
Georgetown,total,440,643,1055
Green Lake,white,8130,3492,12196
Green Lake,black,117,78,208
Green Lake,hispanic,391,207,780
Green Lake,asian,637,449,1638
Green Lake,multiple,402,197,779
Green Lake,pacific islander,6,5,0
Green Lake,native american,35,17,1
Green Lake,other,36,13,11
Green Lake,total,9754,4458,15613
Greenwood/Phinney Ridge,white,15598,3674,20178
Greenwood/Phinney Ridge,black,375,197,404
Greenwood/Phinney Ridge,hispanic,921,420,1234
Greenwood/Phinney Ridge,asian,1106,415,1692
Greenwood/Phinney Ridge,multiple,743,214,1394
Greenwood/Phinney Ridge,pacific islander,41,15,10
Greenwood/Phinney Ridge,native american,118,37,82
Greenwood/Phinney Ridge,other,45,29,46
Greenwood/Phinney Ridge,total,18947,5001,25040
Haller Lake,white,4713,1506,6660
Haller Lake,black,316,355,643
Haller Lake,hispanic,480,363,1070
Haller Lake,asian,1219,539,1296
Haller Lake,multiple,363,163,434
Haller Lake,pacific islander,12,19,124
Haller Lake,native american,54,28,84
Haller Lake,other,40,7,0
Haller Lake,total,7198,2980,10311
High Point,white,1225,1277,3003
High Point,black,317,1944,3034
High Point,hispanic,248,482,549
High Point,asian,381,664,1067
High Point,multiple,121,209,304
High Point,pacific islander,19,96,119
High Point,native american,27,37,0
High Point,other,4,13,17
High Point,total,2341,4723,8093
Highland Park,white,2557,363,3537
Highland Park,black,304,94,313
Highland Park,hispanic,666,214,631
Highland Park,asian,1048,142,1160
Highland Park,multiple,290,46,1105
Highland Park,pacific islander,82,10,208
Highland Park,native american,68,17,15
Highland Park,other,10,0,0
Highland Park,total,5025,886,6969
Interbay,white,2930,4211,7599
Interbay,black,70,165,936
Interbay,hispanic,231,355,597
Interbay,asian,241,362,747
Interbay,multiple,149,245,479
Interbay,pacific islander,12,21,14
Interbay,native american,14,42,56
Interbay,other,8,11,0
Interbay,total,3654,5412,10428
Judkins Park,white,165,737,1316
Judkins Park,black,97,541,766
Judkins Park,hispanic,21,297,93
Judkins Park,asian,58,818,956
Judkins Park,multiple,33,131,321
Judkins Park,pacific islander,0,7,0
Judkins Park,native american,3,11,26
Judkins Park,other,0,6,0
Judkins Park,total,376,2548,3478
Laurelhurst/Sand Point,white,6899,1338,8750
Laurelhurst/Sand Point,black,109,82,241
Laurelhurst/Sand Point,hispanic,217,76,239
Laurelhurst/Sand Point,asian,643,356,1243
Laurelhurst/Sand Point,multiple,295,73,488
Laurelhurst/Sand Point,pacific islander,21,11,7
Laurelhurst/Sand Point,native american,10,12,17
Laurelhurst/Sand Point,other,16,4,8
Laurelhurst/Sand Point,total,8211,1951,10993
Licton Springs,white,2685,2955,6261
Licton Springs,black,160,387,238
Licton Springs,hispanic,310,515,957
Licton Springs,asian,516,765,1513
Licton Springs,multiple,194,276,623
Licton Springs,pacific islander,10,13,14
Licton Springs,native american,24,39,0
Licton Springs,other,8,18,0
Licton Springs,total,3907,4968,9606
Madison Park,white,3173,1279,4211
Madison Park,black,37,16,67
Madison Park,hispanic,99,37,127
Madison Park,asian,118,66,303
Madison Park,multiple,89,37,280
Madison Park,pacific islander,0,2,0
Madison Park,native american,5,4,0
Madison Park,other,0,0,0
Madison Park,total,3521,1441,4988
Madrona/Leschi,white,4919,1267,5998
Madrona/Leschi,black,1017,1020,1519
Madrona/Leschi,hispanic,260,253,580
Madrona/Leschi,asian,425,239,850
Madrona/Leschi,multiple,335,143,1316
Madrona/Leschi,pacific islander,6,28,0
Madrona/Leschi,native american,19,17,64
Madrona/Leschi,other,20,6,0
Madrona/Leschi,total,7001,2972,10327
Magnolia,white,9888,670,11062
Magnolia,black,113,23,44
Magnolia,hispanic,340,43,492
Magnolia,asian,650,73,762
Magnolia,multiple,380,45,635
Magnolia,pacific islander,15,3,0
Magnolia,native american,29,4,29
Magnolia,other,31,1,33
Magnolia,total,11446,862,13057
Miller Park,white,3753,1456,5732
Miller Park,black,242,240,396
Miller Park,hispanic,177,107,271
Miller Park,asian,220,126,514
Miller Park,multiple,184,81,269
Miller Park,pacific islander,5,2,0
Miller Park,native american,6,5,20
Miller Park,other,4,4,10
Miller Park,total,4592,2021,7212
Montlake/Portage Bay,white,4600,2598,7608
Montlake/Portage Bay,black,104,57,148
Montlake/Portage Bay,hispanic,164,119,423
Montlake/Portage Bay,asian,347,258,621
Montlake/Portage Bay,multiple,210,107,389
Montlake/Portage Bay,pacific islander,4,6,42
Montlake/Portage Bay,native american,14,5,27
Montlake/Portage Bay,other,26,11,24
Montlake/Portage Bay,total,5470,3160,9282
Mt. Baker/North Rainier,white,2707,568,3890
Mt. Baker/North Rainier,black,565,422,1235
Mt. Baker/North Rainier,hispanic,141,144,267
Mt. Baker/North Rainier,asian,409,573,597
Mt. Baker/North Rainier,multiple,213,102,281
Mt. Baker/North Rainier,pacific islander,3,8,0
Mt. Baker/North Rainier,native american,22,15,31
Mt. Baker/North Rainier,other,12,2,0
Mt. Baker/North Rainier,total,4072,1834,6301
North Beach/Blue Ridge,white,8122,1253,9965
North Beach/Blue Ridge,black,164,103,25
North Beach/Blue Ridge,hispanic,404,182,681
North Beach/Blue Ridge,asian,501,156,663
North Beach/Blue Ridge,multiple,325,115,537
North Beach/Blue Ridge,pacific islander,7,4,0
