neighborhood,race,population
Alki/Admiral,white,8957
Alki/Admiral,black,180
Alki/Admiral,hispanic,411
Alki/Admiral,asian,550
Alki/Admiral,multiple,347
Alki/Admiral,pacific islander,6
Alki/Admiral,native american,64
Alki/Admiral,other,27
Alki/Admiral,total,10542
Arbor Heights,white,4890
Arbor Heights,black,90
Arbor Heights,hispanic,365
Arbor Heights,asian,322
Arbor Heights,multiple,280
Arbor Heights,pacific islander,31
Arbor Heights,native american,36
Arbor Heights,other,16
Arbor Heights,total,6030
Ballard,white,5467
Ballard,black,190
Ballard,hispanic,390
Ballard,asian,365
Ballard,multiple,244
Ballard,pacific islander,13
Ballard,native american,54
Ballard,other,16
Ballard,total,6739
Beacon Hill,white,1854
Beacon Hill,black,1011
Beacon Hill,hispanic,581
Beacon Hill,asian,5064
Beacon Hill,multiple,467
Beacon Hill,pacific islander,59
Beacon Hill,native american,42
Beacon Hill,other,23
Beacon Hill,total,9101
Belltown,white,5844
Belltown,black,611
Belltown,hispanic,532
Belltown,asian,1135
Belltown,multiple,318
Belltown,pacific islander,33
Belltown,native american,111
Belltown,other,17
Belltown,total,8601
Broadview/Bitter Lake,white,9750
Broadview/Bitter Lake,black,926
Broadview/Bitter Lake,hispanic,782
Broadview/Bitter Lake,asian,1338
Broadview/Bitter Lake,multiple,580
Broadview/Bitter Lake,pacific islander,46
Broadview/Bitter Lake,native american,104
Broadview/Bitter Lake,other,31
Broadview/Bitter Lake,total,13557
Capitol Hill,white,13845
Capitol Hill,black,1037
Capitol Hill,hispanic,1373
Capitol Hill,asian,1744
Capitol Hill,multiple,830
Capitol Hill,pacific islander,56
Capitol Hill,native american,141
Capitol Hill,other,52
Capitol Hill,total,19078
Cascade/Eastlake,white,9213
Cascade/Eastlake,black,960
Cascade/Eastlake,hispanic,909
Cascade/Eastlake,asian,1676
Cascade/Eastlake,multiple,550
Cascade/Eastlake,pacific islander,47
Cascade/Eastlake,native american,144
Cascade/Eastlake,other,27
Cascade/Eastlake,total,13526
Cedar Park/Meadowbrook,white,8188
Cedar Park/Meadowbrook,black,1126
Cedar Park/Meadowbrook,hispanic,1021
Cedar Park/Meadowbrook,asian,1647
Cedar Park/Meadowbrook,multiple,621
Cedar Park/Meadowbrook,pacific islander,59
Cedar Park/Meadowbrook,native american,101
Cedar Park/Meadowbrook,other,35
Cedar Park/Meadowbrook,total,12798
